Georgenia_Cluster_1	Georgenia_sp_Georgenia_soli_Georgenia_muralis_Georgenia_ferrireducens_Georgenia_daeguensis_Georgenia_ruanii
Acinetobacter_Cluster_3	Acinetobacter_pittii_Acinetobacter_nosocomialis_Acinetobacter_lactucae_Acinetobacter_calcoaceticus_Acinetobacter_oleivorans_Acinetobacter_seifertii
Sulfitobacter_Cluster_2	Sulfitobacter_porphyrae_Sulfitobacter_pacificus_Sulfitobacter_geojensis_Sulfitobacter_noctilucae_Sulfitobacter_noctilucicola
Microbispora_Cluster_1	Microbispora_sp_Microbispora_rosea_Microbispora_amethystogenes_Microbispora_hainanensis_Microbispora_bryophytorum_Microbispora_camponoti
Agromyces_Cluster_1	Agromyces_ulmi_Agromyces_subtropicus_Agromyces_flavus_Agromyces_marinus_Agromyces_soli_Agromyces_mediolanus_Agromyces_italicus_Agromyces_indicus_Agromyces_aurantiacus_Agromyces_arachidis
Neptunomonas_Cluster_1	Neptunomonas_sp_Neptunomonas_antarctica_Neptunomonas_naphthovorans_Neptunomonas_concharum_Neptunomonas_acidivorans_Neptunomonas_phycophila
Myceligenerans_Cluster_1	Myceligenerans_xiligouense_Myceligenerans_halotolerans_Myceligenerans_crystallogenes_Myceligenerans_cantabricum
Haloarcula_Cluster_1	Haloarcula_vallismortis_Haloarcula_tradensis_Haloarcula_salaria_Haloarcula_quadrata_Haloarcula_marismortui_Haloarcula_japonica_Haloarcula_hispanica_Haloarcula_amylolytica_Haloarcula_argentinensis
Pseudarthrobacter_Cluster_1	Pseudarthrobacter_sulfonivorans_Pseudarthrobacter_sp_Pseudarthrobacter_siccitolerans_Pseudarthrobacter_polychromogenes_Pseudarthrobacter_oxydans_Pseudarthrobacter_chlorophenolicus_Pseudarthrobacter_defluvii_Pseudarthrobacter_phenanthrenivorans
Sphingobium_Cluster_1	Sphingobium_quisquiliarum_Sphingobium_mellinum_Sphingobium_herbicidovorans_Sphingobium_fuliginis_Sphingobium_barthaii
Thermosipho_Cluster_1	Thermosipho_sp_Thermosipho_atlanticus_Thermosipho_africanus_Thermosipho_globiformans_Thermosipho_melanesiensis
Halobacillus_Cluster_1	Halobacillus_sp_Halobacillus_naozhouensis_Halobacillus_mangrovi_Halobacillus_hunanensis_Halobacillus_halophilus_Halobacillus_alkaliphilus
Mycobacterium_Cluster_11	Mycobacterium_saopaulense_Mycobacterium_n_Mycobacterium_immunogenum_Mycobacterium_fuerthensis_Mycobacterium_chelonae_Mycobacterium_franklinii
Mannheimia_Cluster_1	Mannheimia_varigena_Mannheimia_sp_Mannheimia_haemolytica_Mannheimia_glucosida_Mannheimia_granulomatis
Cellulomonas_Cluster_1	Cellulomonas_denverensis_Cellulomonas_hominis_Cellulomonas_chitinilytica_Cellulomonas_cellasea_Cellulomonas_composti_Cellulomonas_massiliensis
Micromonospora_Cluster_3	Micromonospora_schwarzwaldensis_Micromonospora_narashino_Micromonospora_maritima_Micromonospora_chalcea_Micromonospora_humi
Aeromicrobium_Cluster_1	Aeromicrobium_sp_Aeromicrobium_choanae_Aeromicrobium_ginsengisoli_Aeromicrobium_fastidiosum_Aeromicrobium_panaciterrae_Aeromicrobium_marinum_Aeromicrobium_erythreum_Aeromicrobium_halocynthiae
Enterococcus_Cluster_3	Enterococcus_xiangfangensis_Enterococcus_viikkiensis_Enterococcus_raffinosus_Enterococcus_pseudoavium_Enterococcus_pallens_Enterococcus_malodoratus_Enterococcus_hermanniensis_Enterococcus_hawaiiensis_Enterococcus_gilvus_Enterococcus_avium_Enterococcus_devriesei
Streptomyces_Cluster_18	Streptomyces_showdoensis_Streptomyces_laculatispora_Streptomyces_beijiangensis_Streptomyces_brevispora
Sporosarcina_Cluster_1	Sporosarcina_ureae_Sporosarcina_thermotolerans_Sporosarcina_saromensis_Sporosarcina_psychrophila_Sporosarcina_pasteurii_Sporosarcina_koreensis_Sporosarcina_ginsengisoli_Sporosarcina_newyorkensis
Herbaspirillum_Cluster_1	Herbaspirillum_seropedicae_Herbaspirillum_huttiense_Herbaspirillum_aquaticum_Herbaspirillum_frisingense_Herbaspirillum_chlorophenolicum
Shewanella_Cluster_2	Shewanella_oneidensis_Shewanella_gaetbuli_Shewanella_basaltis_Shewanella_algicola_Shewanella_inventionis
Microbacterium_Cluster_2	Microbacterium_terricola_Microbacterium_sediminis_Microbacterium_sediminicola_Microbacterium_neimengense_Microbacterium_lemovicicum_Microbacterium_hatanonis_Microbacterium_halimionae_Microbacterium_endophyticum_Microbacterium_deminutum_Microbacterium_binotii_Microbacterium_diaminobutyricum
Gracilibacillus_Cluster_1	Gracilibacillus_thailandensis_Gracilibacillus_saliphilus_Gracilibacillus_lacisalsi_Gracilibacillus_sp_Gracilibacillus_ureilyticus
